week,zip,week_st,week_end,population,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,pct_tested_positive_weekly,pct_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,zip_code_location,int,cumulative_doses_weekly,cumulative_first_weekly,cumulative_complete_weekly,cumulative_pct_first,cumulative_pct_complete,doses_weekly,first_weekly,phase,pct_complete_present,pct_first_present,first_dose_rate
1,60601,3/1/2020,3/7/2020,15083,NA,NA,NA,NA,1,1,6.629980773,6.629980773,0.972949678,0.972949678,0,0,0,0,POINT (-87.622844 41.886262),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60602,3/1/2020,3/7/2020,1145,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,POINT (-87.628309 41.883136),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60603,3/1/2020,3/7/2020,1052,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,POINT (-87.625473 41.880112),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60604,3/1/2020,3/7/2020,823,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,POINT (-87.629029 41.878153),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60605,3/1/2020,3/7/2020,29060,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,POINT (-87.623449 41.867824),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60606,3/1/2020,3/7/2020,3287,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,POINT (-87.63676 41.882634),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60607,3/1/2020,3/7/2020,29293,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,POINT (-87.652727 41.876104),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60608,3/1/2020,3/7/2020,80059,NA,NA,NA,NA,3,3,3.747236413,3.747236413,2.967998601,2.967998601,0,0,0,0,POINT (-87.670366 41.849879),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60609,3/1/2020,3/7/2020,60939,NA,NA,NA,NA,2,2,3.281970495,3.281970495,2.018247756,2.018247756,0,0,0,0,POINT (-87.653382 41.812017),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60610,3/1/2020,3/7/2020,40548,NA,NA,NA,NA,3,3,7.39863865,7.39863865,2.886874815,2.886874815,0,0,0,0,POINT (-87.63581 41.90455),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60611,3/1/2020,3/7/2020,33224,NA,NA,NA,NA,3,3,9.029617144,9.029617144,2.927943655,2.927943655,0,0,0,0,POINT (-87.620291 41.894734),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60612,3/1/2020,3/7/2020,33735,NA,NA,NA,NA,1,1,2.964280421,2.964280421,1.017074255,1.017074255,0,0,0,0,POINT (-87.687011 41.88004),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,60613,3/1/2020,3/7/2020,50761,NA,NA,NA,NA,2,2,3.940032702,3.940032702,1.974468588,1.974468588,0,0,0,0,POINT (-87.661343 41.953742),2020-03-01 UTC--2020-03-07 UTC,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
